P001_WA03_00080 	Cyperaceae;Carex; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P002_WA10_00090 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron;
P002_WA11_00074 	Poaceae;Calamagrostis; 	Poaceae;Poa	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Poa; 	Poaceae;Calamagrostis;
P002_WB08_00026 	Poaceae;Poa; 	Poaceae;Poa	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Poa; 	Poaceae;Calamagrostis;
P002_WB09_00097 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P002_WC02_00083 	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis; 	Fabaceae;Astragalus; 	Rosaceae;Sibbaldia;
P002_WC12_00023 	Cyperaceae;Eriophorum; 	Zingiberaceae;Roscoea	Cyperaceae;Eriophorum; 	Asteraceae;Antennaria; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum;
P002_WD08_00051 	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis; 	Fabaceae;Astragalus; 	Rosaceae;Sibbaldia;
P002_WD10_00088 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P002_WD12_00082 	Polygonaceae;Rumex; 	Polygonaceae;Fagopyrum	Betulaceae;Betula; 	Betulaceae;Betula; 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Sagina;
P002_WE07_00101 	Rosaceae;Spiraea; 	Caryophyllaceae;Colobanthus	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Sagina; 	Caryophyllaceae;Cerastium; 	Polygonaceae;Rumex;
P002_WE09_00058 	Betulaceae;Betula; 	Betulaceae;Carpinus	Betulaceae;Betula; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P002_WF05_00107 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron;
P002_WF07_00095 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Colobanthus	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Sagina; 	Caryophyllaceae;Cerastium; 	Polygonaceae;Rumex;
P002_WF12_00031 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P002_WG04_00095 	Rosaceae;Alchemilla; 	Rosaceae;Fragaria	Rosaceae;Potentilla; 	Rosaceae;Sibbaldia; 	Cyperaceae;Carex; 	Asteraceae;Cirsium;
P002_WG05_00103 	Poaceae;Calamagrostis; 	Poaceae;Poa	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Poa; 	Poaceae;Calamagrostis;
P002_WG06_00050 	Juncaceae;Juncus; 	Juncaceae;Juncus	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Liliaceae;Gagea; 	Crassulaceae;Sedum;
P002_WG08_00030 	Cyperaceae;Eriophorum; 	Zingiberaceae;Roscoea	Cyperaceae;Eriophorum; 	Asteraceae;Antennaria; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum;
P002_WG09_00100 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P002_WG11_00005 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P002_WH04_00060 	Apiaceae;Bupleurum; 	Apiaceae;Daucus	Asteraceae;Achillea; 	Asteraceae;Leucanthemopsis; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron;
P002_WH09_00078 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron;
P002_WH10_00099 	Poaceae;Arctagrostis; 	Poaceae;Poa	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Poa; 	Poaceae;Calamagrostis;
P003_WA01_00049 	Rosaceae;Potentilla; 	Rosaceae;Potaninia	Rosaceae;Alchemilla; 	Rosaceae;Sibbaldia; 	Cyperaceae;Carex; 	Asteraceae;Cirsium;
P003_WA04_00086 	Crassulaceae;Sedum; 	Crassulaceae;Pachyphytum	Cyperaceae;Carex; 	Asteraceae;Achillea; 	Asteraceae;Cirsium; 	Juncaceae;Juncus;
P003_WA06_00102 	Poaceae;Festuca; 	Poaceae;Poa	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Poa; 	Poaceae;Calamagrostis;
P003_WA07_00026 	Cyperaceae;Carex; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P003_WA10_00144 	Gentianaceae;Gentiana; 	Primulaceae;Androsace	Asteraceae;Leucanthemopsis; 	Asteraceae;Leontodon; 	Asteraceae;Hieracium; 	Asteraceae;Taraxacum;
P003_WB04_00036 	Cyperaceae;Eriophorum; 	Zingiberaceae;Roscoea	Cyperaceae;Eriophorum; 	Asteraceae;Antennaria; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum;
P003_WB05_00027 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga	Betulaceae;Betula; 	Betulaceae;Betula; 	Crassulaceae;Sedum; 	Asteraceae;Taraxacum;
P003_WB08_00129 	Asteraceae;Antennaria; 	Zingiberaceae;Roscoea	Cyperaceae;Eriophorum; 	Asteraceae;Antennaria; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum;
P003_WB09_00059 	Cyperaceae;Eriophorum; 	Zingiberaceae;Roscoea	Cyperaceae;Eriophorum; 	Asteraceae;Antennaria; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum;
P003_WC02_00075 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron;
P003_WC04_00047 	Cyperaceae;Carex; 	Cyperaceae;Carex	Asteraceae;Cirsium; 	Juncaceae;Juncus; 	Liliaceae;Gagea; 	Crassulaceae;Sedum;
P003_WC05_00144 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P003_WC08_00062 	Poaceae;Poa; 	Poaceae;Poa	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Poa; 	Poaceae;Calamagrostis;
P003_WC10_00115 	Asteraceae;Leucanthemum; 	Asteraceae;Ixeris	Asteraceae;Leontodon; 	Asteraceae;Taraxacum; 	Asteraceae;Achillea; 	Asteraceae;Taraxacum;
P003_WC11_00073 	Asteraceae;Achillea; 	Asteraceae;Artemisia	Asteraceae;Leucanthemopsis; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron;
P003_WD01_00093 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron;
P003_WD09_00013 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P003_WD10_00099 	Caryophyllaceae;Sagina; 	Caryophyllaceae;Colobanthus	Rosaceae;Spiraea; 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Cerastium; 	Asteraceae;Hieracium;
P003_WE03_00031 	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum; 	Poaceae;Agrostis;
P003_WE04_00060 	Poaceae;Agrostis; 	Poaceae;Agrostis	Poaceae;Agrostis; 	Poaceae;Agrostis; 	Poaceae;Poa; 	Poaceae;Calamagrostis;
P003_WE07_00010 	Cyperaceae;Eriophorum; 	Zingiberaceae;Roscoea	Cyperaceae;Eriophorum; 	Asteraceae;Antennaria; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum;
P003_WE09_00005 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P003_WE11_00113 	Cyperaceae;Carex; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P003_WF01_00368 	Onagraceae;Epilobium; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P003_WF03_00076 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P003_WF09_00084 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Asteraceae;Leucanthemum;
P003_WF12_00084 	Poaceae;Festuca; 	Poaceae;Poa	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Poa; 	Poaceae;Calamagrostis;
P003_WG02_00004 	Cyperaceae;Carex; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P003_WG05_00076 	Asteraceae;Leucanthemopsis; 	Asteraceae;Artemisia	Asteraceae;Achillea; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron;
P003_WG10_00025 	Juncaceae;Juncus; 	Cyperaceae;Carex	Equisetaceae;Equisetum; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P003_WG11_00186 	Asteraceae;Cirsium; 	Cyperaceae;Cyperus	Cyperaceae;Carex; 	Juncaceae;Juncus; 	Liliaceae;Gagea; 	Rosaceae;Alchemilla;
P003_WG12_00049 	Cyperaceae;Carex; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P003_WH02_00099 	Orobanchaceae;Bartsia; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P003_WH12_00013 	Cyperaceae;Carex; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P8807_506_00058 	Poaceae;Festuca; 	Poaceae;Poa	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Poa; 	Poaceae;Calamagrostis;
P8807_508_00094 	Asteraceae;Hieracium; 	Asteraceae;Atractylodes	Asteraceae;Hieracium; 	Cyperaceae;Carex; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum;
P8807_511_00050 	Poaceae;Poa; 	Poaceae;Poa	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Poa; 	Poaceae;Calamagrostis;
P8807_512_00026 	Cyperaceae;Carex; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P8807_516_00090 	Caryophyllaceae;Cerastium; 	Caryophyllaceae;Cerastium	Rosaceae;Spiraea; 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Sagina; 	Ericaceae;Pyrola;
P8807_518_00142 	Cyperaceae;Carex; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P8807_523_00063 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P8807_526_00104 	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum; 	Poaceae;Agrostis;
P8807_527_00051 	Fabaceae;Astragalus; 	Fabaceae;Astragalus	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis; 	Rosaceae;Sibbaldia;
P8807_528_00108 	Diapensiaceae;Diapensia; 	Diapensiaceae;Diapensia	Asteraceae;Scorzonera; 	Asteraceae;Hieracium; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum;
P8807_530_00120 	Cyperaceae;Carex; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
WA02_00019 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
WA03_00105 	Poaceae;Calamagrostis; 	Poaceae;Poa	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Poa; 	Poaceae;Calamagrostis;
WA04_00075 	Ericaceae;Pyrola; 	Ericaceae;Pyrola	Asteraceae;Leucanthemum; 	Boraginaceae;Myosotis; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum;
WA11_00024 	Cyperaceae;Carex; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
WB01_00072 	Cyperaceae;Carex; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
WB04_00118 	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum; 	Poaceae;Agrostis;
WB10_00078 	Rosaceae;Sibbaldia; 	Rosaceae;Sibbaldia	Rosaceae;Alchemilla; 	Rosaceae;Potentilla; 	Cyperaceae;Carex; 	Crassulaceae;Sedum;
WB12_00034 	Asteraceae;Taraxacum; 	Campanulaceae;Campanula	Asteraceae;Taraxacum; 	Cyperaceae;Carex; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum;
WC04_00072 	Poaceae;Agrostis; 	Poaceae;Agrostis	Poaceae;Agrostis; 	Poaceae;Agrostis; 	Poaceae;Poa; 	Poaceae;Calamagrostis;
WC05_00102 	Cyperaceae;Carex; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
